Indicação Fiscal;Inscrição Imobiliária;Data Criação Alvará;Data Início Obra;Data Conclusão Obra;Logradouro;Número;Bairro;Grupo Zoneamento;Abrangência;Quantidade Pavimentos;Quantidade de Unidades Residênciais;Quantidade Unidades Não Residênciais;Número Alvará;Uso(s) Alvará;Sub-Uso(s) Alvará;Finalidade;Material(is);Metragem Área Remanescente;Metragem Construída Lote;Número de CAPACs Utilizadas;ACA-Área Adicional de Construção;Área Liberada;Metragem Área Reforma Alvará;Quantidade Blocos Alvará;Quantidade Sub-Solo Alvará;Autor do Projeto;Número Registro Crea/Cau AU;Responsável Técnico;Número Registro Crea/Cau RT;Firma Construtora;Número CVCO;Tipo Vistoria;Data Vistoria
15.065.003;30.0.0004.0130; 01/06/2015 ; 31/08/2015 ;;GENERAL MARIO TOURINHO;2.425;CAMPINA DO SIQUEIRA;ZR3-T - ZONA RESIDENCIAL 3 TRANSIÇÃO;Unidade Regional Santa Felicidade;2;;1;335.767;COMÉRCIO E SERVIÇO SETORIAL;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";2.948,00;3.187,84;0;0,00;3.187,84;0,00;0;1;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
36.142.030;18.0.0011.0032; 01/06/2015 ; 31/08/2015 ; 03/02/2016 ;MÉXICO;1.102;JARDIM SOCIAL;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Matriz;2;1;;335.740;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";358,92;419,73;0;0,00;419,73;0,00;0;1;BRUNO FERNANDO JANTSCH MANSUR;PR0000070059D;BRUNO FERNANDO JANTSCH MANSUR;PR0000070059D;;;;
42.036.008;25.0.0134.0142; 01/06/2015 ; 31/08/2015 ; 17/05/2016 ;PIAUÍ;1.086;PAROLIN;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Portao;2;1;0;335.775;HABITAÇÃO UNIFAMILIAR;"******; Edícula / Dependência";CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";517,00;238,84;0;0,00;238,84;0,00;0;0;RICARDO COSTA LANGE;A0285374;RICARDO COSTA LANGE;A0285374;;;;
48.292.015;21.1.0120.0246; 01/06/2015 ; 31/08/2015 ; 01/07/2016 ;CUIABÁ;2.020;CAJURU;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Cajuru;1;1;0;335.734;HABITAÇÃO UNIFAMILIAR;******;MORADIA POPULAR;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";189,00;70,00;0;0,00;70,00;0,00;0;0;;;;;;;;
63.072.260;27.3.0042.0608; 01/06/2015 ; 31/08/2015 ;;MARIA GABARDO MENDES;121;PORTÃO;ZR4 - ZONA RESIDENCIAL 4;Unidade Regional Portao;2;2;0;335.778;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";315,90;372,42;0;0,00;372,42;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
83.036.037;58.0.0003.0042; 01/06/2015 ; 31/08/2015 ; 17/06/2019 ;PROFESSOR JOÃO MAZZAROTTO;61;CAPÃO RASO;EE-3 - EIXO ESTRUTURAL SUL - INCENTIVO;Unidade Regional Pinheirinho;17;72;1;335.771;"COMÉRCIO E SERVIÇO SETORIAL; HABITAÇÃO COLETIVA";******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";1.136,92;10.098,86;0;0,00;10.098,86;0,00;0;3;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;ANDRE LUIZ CARNEIRO STROMBERG;;CONSTROM - CONSTRUTORA STROMBERG LTDA;;;
83.493.230;66.3.0052.0238; 01/06/2015 ; 31/08/2015 ;;NOSSA SENHORA DO SAGRADO CORAÇÃO;444;PINHEIRINHO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Pinheirinho;2;1;0;335.761;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";9.289,05;165,76;0;0,00;165,76;0,00;0;1;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
83.521.030;66.1.0004.0098; 01/06/2015 ; 31/08/2015 ; 19/04/2017 ;HÉLIO DIRCEU WOITIKIW;131;PINHEIRINHO;PÓLO-LV - PÓLO DA LINHA VERDE - 12 - S. SUL-P3;Unidade Regional Pinheirinho;1;0;1;335.757;COMÉRCIO E SERVIÇO SETORIAL;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";552,00;297,06;0;0,00;297,06;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
84.102.014;56.6.0055.0202; 01/06/2015 ; 31/08/2015 ; 26/08/2015 ;CASCAVEL;1.216;BOQUEIRÃO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boqueirao;2;2;;335.755;HABITAÇÃO UNIFAMILIAR;"******; Edícula / Dependência";CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";550,00;255,45;0;0,00;255,45;0,00;2;1;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
84.108.038;38.1.0025.0172; 01/06/2015 ; 31/07/2015 ; 06/07/2015 ;BARTOLOMEU LOURENÇO DE GUSMÃO;1.170;HAUER;ZS1 - ZONA DE SERVIÇOS 1;Unidade Regional Boqueirao;0;1;0;335.769;HABITAÇÃO UNIFAMILIAR;"******; Edícula / Dependência";DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";780,00;0,00;0;0,00;83,70;0,00;0;0;;;;;;;;
84.263.035;64.0.0063.0558; 01/06/2015 ; 31/08/2015 ;;MAESTRO CARLOS FRANK;2.721;ALTO BOQUEIRÃO;ECS - EIXO CONECTOR SUL 1;Unidade Regional Boqueirao;2;1;0;335.751;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";28.216,00;121,20;0;0,00;121,20;0,00;0;0;CLAUDIO AURELIO MOTTIM AMORIM;PR065803D;CLAUDIO AURELIO MOTTIM AMORIM;PR065803D;;;;
84.333.015;56.0.0083.0082; 01/06/2015 ; 31/07/2015 ;;RAGGI IZAR;2.272;BOQUEIRÃO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boqueirao;0;1;0;335.765;HABITAÇÃO UNIFAMILIAR;******;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";440,00;0,00;0;0,00;60,00;0,00;0;0;;;;;;;;
84.714.012;65.4.0093.0204; 01/06/2015 ; 31/08/2015 ; 01/06/2017 ;ARISTIDES MARQUEZINI;1.077;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;2;3;0;335.754;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";275,40;330,77;0;0,00;330,77;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
89.848.020;74.5.0115.0086; 01/06/2015 ; 31/08/2015 ;;IEDA ANQUIZES JABONSKI;48;TATUQUARA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;2;0;335.759;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";144,00;65,96;0;0,00;65,96;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
94.240.001;51.1.0024.0288; 01/06/2015 ; 31/08/2015 ;;SOFIA WINKLEWSKI DYMINSKI;612;CACHOEIRA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Boa Vista;1;1;;335.746;CASA POPULAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";192,01;37,84;0;0,00;37,84;0,00;;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;;;
94.240.002;51.1.0024.0294; 01/06/2015 ; 31/08/2015 ; 01/11/2018 ;HOWELL LEWIS FRY;328;CACHOEIRA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Boa Vista;1;1;;335.742;CASA POPULAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";126,00;27,91;0;0,00;27,91;0,00;;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;;;
94.240.005;51.1.0024.0314; 01/06/2015 ; 31/08/2015 ; 01/11/2018 ;HOWELL LEWIS FRY;352;CACHOEIRA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Boa Vista;1;1;;335.745;CASA POPULAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";126,00;42,09;0;0,00;42,09;0,00;;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;;;
94.240.006;51.1.0024.0322; 01/06/2015 ; 31/08/2015 ; 01/11/2018 ;HOWELL LEWIS FRY;360;CACHOEIRA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Boa Vista;2;2;;335.736;CASA POPULAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";126,00;92,40;0;0,00;92,40;0,00;;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;;;
94.240.013;51.1.0024.0372; 01/06/2015 ; 31/08/2015 ; 01/11/2018 ;HOWELL LEWIS FRY;416;CACHOEIRA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Boa Vista;1;1;;335.766;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";126,00;34,29;0;0,00;34,29;0,00;;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;;;
94.240.018;51.1.0024.0406; 01/06/2015 ; 31/08/2015 ; 01/11/2018 ;HOWELL LEWIS FRY;452;CACHOEIRA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Boa Vista;1;1;;335.764;CASA POPULAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";126,00;34,29;0;0,00;34,29;0,00;;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;;;
94.240.024;51.1.0024.0084; 01/06/2015 ; 31/08/2015 ; 20/09/2018 ;SEZINANDO CORDEIRO DA SILVA;163;CACHOEIRA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Boa Vista;2;2;;335.738;CASA POPULAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";126,00;92,40;0;0,00;92,40;0,00;;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;;;
94.240.026;51.1.0024.0098; 01/06/2015 ; 31/08/2015 ; 20/09/2018 ;SEZINANDO CORDEIRO DA SILVA;149;CACHOEIRA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Boa Vista;1;1;;335.744;CASA POPULAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";144,00;42,09;0;0,00;42,09;0,00;;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;;;
94.240.027;51.1.0024.0106; 01/06/2015 ; 31/08/2015 ; 20/09/2018 ;SEZINANDO CORDEIRO DA SILVA;141;CACHOEIRA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Boa Vista;1;1;;335.741;CASA POPULAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";144,00;42,09;0;0,00;42,09;0,00;;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;;;
94.240.028;51.1.0024.0114; 01/06/2015 ; 31/08/2015 ; 20/09/2018 ;SEZINANDO CORDEIRO DA SILVA;133;CACHOEIRA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Boa Vista;2;2;;335.737;CASA POPULAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";126,00;92,40;0;0,00;92,40;0,00;;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;;;
94.240.035;51.1.0024.0162; 01/06/2015 ; 31/08/2015 ; 20/09/2018 ;SEZINANDO CORDEIRO DA SILVA;83;CACHOEIRA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Boa Vista;1;1;;335.758;CASA POPULAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";126,00;34,29;0;0,00;34,29;0,00;;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;;;
94.240.039;51.1.0024.0190; 01/06/2015 ; 31/08/2015 ; 20/09/2018 ;SEZINANDO CORDEIRO DA SILVA;55;CACHOEIRA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Boa Vista;2;2;;335.735;CASA POPULAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";126,00;92,40;0;0,00;92,40;0,00;;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;;;
94.240.040;51.1.0024.0196; 01/06/2015 ; 31/08/2015 ; 20/09/2018 ;SEZINANDO CORDEIRO DA SILVA;47;CACHOEIRA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Boa Vista;1;1;;335.777;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";126,00;33,00;0;0,00;33,00;0,00;;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;;;
94.240.041;51.1.0024.0204; 01/06/2015 ; 31/08/2015 ; 20/09/2018 ;SEZINANDO CORDEIRO DA SILVA;41;CACHOEIRA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Boa Vista;1;1;;335.780;CASA POPULAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";126,00;33,00;0;0,00;33,00;0,00;;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;;;
94.240.045;51.1.0024.0252; 01/06/2015 ; 31/08/2015 ;;SEZINANDO CORDEIRO DA SILVA;13;CACHOEIRA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Boa Vista;1;1;;335.747;CASA POPULAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";195,97;37,84;0;0,00;37,84;0,00;;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;;;
94.242.003;51.1.0026.0090; 01/06/2015 ; 31/08/2015 ; 07/11/2017 ;SOFIA WINKLEWSKI DYMINSKI;417;CACHOEIRA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Boa Vista;1;1;0;335.762;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";126,00;33,00;0;0,00;33,00;0,00;0;0;ODENIR NASS;PR0000009862D;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;;;
