INDFISCAL;Inscrição Imobiliária;Data Criação Alvará;Data Início Obra;Data Conclusão Obra;Logradouro;Número;Bairro;Grupo Zoneamento;Abrangência;Quantidade Pavimentos;Quantidade de Unidades Residênciais;Quantidade Unidades Não Residênciais;Número Alvará;Uso(s) Alvará;Sub-Uso(s) Alvará;Finalidade;Material(is);Metragem Área Remanescente;Metragem Construída Lote;Número de CAPACs Utilizadas;ACA-Área Adicional de Construção;Área Liberada;Metragem Área Reforma Alvará;Quantidade Blocos Alvará;Quantidade Sub-Solo Alvará;Autor do Projeto;Número Registro Crea/Cau AU;Responsável Técnico;Número Registro Crea/Cau RT;Firma Construtora;Número CVCO;Tipo Vistoria;Data Vistoria;Área Vistoria
82.616.050;65.6.0172.0168; 14/01/2016 ; 13/04/2016 ;;JOÃO FERREIRA;139;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;2;2;0;340.241;;******;CONSTRUÇÃO;;126,00;92,40;0;0,00;92,40;0,00;0;0;MARIANA Y MOLINA SELLUCIO;A0436046;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;409490;Total; 01/04/2025 ;92,40
82.828.017;73.4.0075.0052; 31/01/2025 ; 01/05/2025 ;;MARIA LOPES ARRUDA;919;UMBARÁ;ZS2 - ZONA DE SERVIÇOS 2;Unidade Regional Bairro Novo;1;1;;408.114;;******;;;495,00;77,59;;0,00;77,59;0,00;0;0;JEAN CARLO VIEIRA;PR195512D;JEAN CARLO VIEIRA;PR195512D;J C VIEIRA ENGENHARIA LTDA;409454;Total; 01/04/2025 ;77,59
82.932.001;73.4.0103.0020; 15/05/2023 ; 13/08/2023 ;;MERCEDES IRENE BONATTO SCROCCARO;255;UMBARÁ;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Bairro Novo;2;2;;393.408;;******;CONSTRUÇÃO;;144,50;219,92;;0,00;219,92;0,00;0;0;CRISTIANE SZWEC GONCALVES;PR0000062071D;CRISTIANE SZWEC GONCALVES;PR0000062071D;;409456;Total; 01/04/2025 ;219,92
83.500.105;73.1.0002.0972; 24/10/2022 ; 22/01/2023 ;;VEREADOR ANGELO BURBELLO;2.591;UMBARÁ;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Bairro Novo;2;1;;388.832;;Conjunto Habitacional;CONSTRUÇÃO;;23.300,00;280,56;;0,00;280,56;0,00;0;0;MARIO ANTONIO NEGRELLO;PR0000019389D;FABIO LUIZ NICHELE;PR0000026055D;;409455;Total; 01/04/2025 ;280,56
84.902.013;65.4.0160.0102; 07/03/2025 ; 05/06/2025 ;;CLEMENTE MENDES FERREIRA;1.119;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;2;6;;408.879;;******;CONSTRUÇÃO;;461,52;418,11;;0,00;418,11;0,00;0;0;GABRIEL RIBAS;PR0000179544D;GABRIEL RIBAS;PR0000179544D;;409458;Total; 01/04/2025 ;418,11
89.374.016;74.5.0046.0132; 19/04/2024 ; 18/07/2024 ;;ALFREDO VENDRAMIN;7;TATUQUARA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;2;2;;400.911;;******;CONSTRUÇÃO;;165,60;163,72;;0,00;163,72;0,00;0;0;MARIO ANTONIO NEGRELLO;PR0000019389D;GUSTAVO HENRIQUE NEGRELLO;PR0000191361D;;409461;Total; 01/04/2025 ;163,72
89.669.003;76.4.0030.0030; 28/08/2024 ; 26/11/2024 ;;JOÃO GAPSKI;497;CIDADE INDUSTRIAL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;2;;404.367;;"******; Edícula";CONSTRUÇÃO;;160,00;161,00;;0,00;161,00;0,00;0;0;GILBERTO FIGUEIREDO DE OLIVEIRA;A0588873;GILBERTO FIGUEIREDO DE OLIVEIRA;A0588873;;409473;Total; 01/04/2025 ;161,00
89.717.021;74.4.0072.0228; 19/12/2024 ; 19/03/2025 ;;ELEONORA BRASIL POMPEO;270;TATUQUARA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;2;;407.375;;******;CONSTRUÇÃO;;160,00;84,00;;0,00;84,00;0,00;0;0;edilson da cruz souza;PR187208D;edilson da cruz souza;PR187208D;;409474;Total; 01/04/2025 ;84,00
89.896.012;74.6.0144.0216; 25/09/2012 ; 24/12/2012 ;;DOUTOR CEZAR PERNETTA;369;TATUQUARA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;2;1;1;313.881;;******;CONSTRUÇÃO;;160,00;164,00;0;0,00;164,00;0,00;0;0;CARLOS ANTHONY QUITES;A0035726;SERGIO LUIZ PALUCOSKI;PR0000063599D;;409466;Total; 01/04/2025 ;164,00
92.166.014;52.2.0028.0136; 09/07/2024 ; 07/10/2024 ;;ALVINO CARLOS DE SOUZA;29;BARREIRINHA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;1;;403.067;;******;;;100,00;141,73;;0,00;97,73;0,00;0;0;KAROLINE BUSKI;PR0000208676D;KAROLINE BUSKI;PR0000208676D;;409486;Total; 01/04/2025 ;97,73
98.048.012;55.0.0010.0084; 23/02/2024 ; 23/05/2024 ;;MARECHAL MASCARENHAS DE MORAES;1.121;ATUBA;ZR3-T - ZONA RESIDENCIAL 3 TRANSIÇÃO;Unidade Regional Boa Vista;1;1;;399.629;;******;CONSTRUÇÃO;;346,50;140,79;;0,00;140,79;0,00;0;0;JOSÉ CARLOS WENGUE;PR0000204906D;JOSÉ CARLOS WENGUE;PR0000204906D;;409463;Total; 01/04/2025 ;140,79
25.021.063;30.0.0076.0398; 03/09/2024 ; 02/12/2024 ;;DOUTOR CARLOS DE CARVALHO;2.998;CAMPINA DO SIQUEIRA;ZR1 - ZONA RESIDENCIAL 1;Unidade Regional Santa Felicidade;2;1;;404.516;;******;CONSTRUÇÃO;;1.308,06;530,58;;0,00;530,58;0,00;0;0;LEILA SCHMIDT GEVAERD;A0952958;LEILA SCHMIDT GEVAERD;A0952958;LEILA SCHMIDT GEVAERD ARQUITETURA E GESTAO;407483;Total; 02/01/2025 ;530,58
29.005.002;45.1.0007.0200; 26/10/2023 ; 24/01/2024 ;;DOUTOR JOÃO MOTTER;282;MOSSUNGUÊ;ZR3-T - ZONA RESIDENCIAL 3 TRANSIÇÃO;Unidade Regional Santa Felicidade;1;1;;397.241;;******;CONSTRUÇÃO;;389,48;218,22;;0,00;218,22;0,00;0;0;JOSE EDUARDO BEZERRA;PR0000145063D;JOSE EDUARDO BEZERRA;PR0000145063D;;407480;Total; 02/01/2025 ;218,22
54.065.007;35.0.0056.0094; 30/11/2023 ; 28/02/2024 ;;ESTADOS UNIDOS;803;BACACHERI;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Boa Vista;1;1;;397.955;;******;CONSTRUÇÃO;;780,00;357,45;;0,00;357,45;0,00;0;0;FABIANA NATHALIE FERREIRA;A0469955;JAYME ROBERTO GASPARIN;PR0000015868D;;407479;Total; 02/01/2025 ;357,45
81.172.030;57.3.0060.0256; 26/10/2023 ; 24/01/2024 ;;BATISTA DA COSTA;153;XAXIM;ZT-LV - ZONA DE TRANSIÇÃO LINHA VERDE - 12 - S. SUL-AIB3;Unidade Regional Boqueirao;2;3;;397.216;;******;CONSTRUÇÃO;;252,00;263,15;;0,00;263,15;0,00;0;0;EMERSON CLEBIS DE OLIVEIRA;PR0000086770D;EMERSON CLEBIS DE OLIVEIRA;PR0000086770D;;407488;Total; 02/01/2025 ;263,15
81.196.010;57.3.0048.0386; 19/09/2019 ; 18/12/2019 ;;RODOLFO AMOEDO;302;XAXIM;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boqueirao;1;2;0;364.115;;******;CONSTRUÇÃO;;275,00;127,87;0;0,00;60,12;0,00;0;0;NELSON LUIZ ZILLI;PR0000009759D;NELSON LUIZ ZILLI;PR0000009759D;;407485;Parcial; 02/01/2025 ;60,12
84.242.008;64.0.0006.0170; 21/02/2018 ; 22/05/2018 ;;MAX SCHUBERT;348;ALTO BOQUEIRÃO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boqueirao;2;1;0;353.214;;******;CONSTRUÇÃO;;6.022,85;124,55;0;0,00;124,55;0,00;0;0;LARYSSA CHAVES LEITE;A1187635;SARAH CAROLINA DE SOUZA PINHEIRO;A3017958;;407487;Total; 02/01/2025 ;124,55
84.271.088;56.6.0061.0212; 24/05/2024 ; 22/08/2024 ;;PAULO SETUBAL;4.110;BOQUEIRÃO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boqueirao;2;1;1;401.877;;******;CONSTRUÇÃO;;381,60;444,26;;0,00;444,26;0,00;0;0;MARIANA PAULA DA SILVA SOUZA BEDIN;A0399990;FRANCISCO MARINO GONZALEZ;PR0000016532D;;407481;Total; 02/01/2025 ;444,26
87.366.034;71.7.0101.0130; 10/04/2024 ; 09/07/2024 ;;URIEL NOGUEIRA DOS SANTOS;319;CAMPO DE SANTANA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Tatuquara;2;1;;400.693;;Conjunto Habitacional;;;2.664,40;113,28;;0,00;66,84;0,00;0;0;CLAUDIANNE COSTA DE ABREU;A0308323;CLAUDIANNE COSTA DE ABREU;A0308323;ESPACO 3 ARQUITETURA LTDA;407470;Total; 02/01/2025 ;66,84
87.367.040;71.0.0035.0292; 06/07/2023 ; 05/10/2023 ;;DELEGADO BRUNO DE ALMEIDA;2.048;CAMPO DE SANTANA;ZROI - ZONA RESIDENCIAL DE OCUPAÇÃO INTEGRADA;Unidade Regional Tatuquara;2;92;;394.694;;Conjunto Habitacional;CONSTRUÇÃO;;18.673,15;5.575,04;;0,00;470,88;0,00;0;0;JOSE VICENTE LOPES;A0154075;RAFAEL LUIZ DE MEDEIROS;PR0000083501D;PIEMONTE ENGENHARIA S.A.;407473;Parcial; 02/01/2025 ;470,88
87.502.014;71.6.0035.0562; 14/08/2024 ; 12/11/2024 ;;MARCOS BERTOLDI;363;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;2;;1;404.009;;******;CONSTRUÇÃO;;360,00;320,00;;0,00;320,00;0,00;0;0;JOSIANE DOS SANTOS CASTRO CORREA;PR0000070832D;JOSIANE DOS SANTOS CASTRO CORREA;PR0000070832D;;407474;Total; 02/01/2025 ;320,00
87.749.015;71.5.0016.0218; 02/09/2024 ; 01/12/2024 ;;FRANCISCO DE ASSIS LAURIANO LEME;39;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;2;;404.476;;******;CONSTRUÇÃO;;142,66;85,00;;0,00;85,00;0,00;0;0;NOBUO ENOMOTO;A0031305;NOBUO ENOMOTO;A0031305;;407465;Total; 02/01/2025 ;85,00
89.827.031;74.4.0087.0166; 19/04/2024 ; 18/07/2024 ;;ENETTE DUBARD;1.510;TATUQUARA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;2;3;;400.923;;******;CONSTRUÇÃO;;196,38;185,54;;0,00;185,54;0,00;0;0;GABRIEL RIBAS;PR0000179544D;GABRIEL RIBAS;PR0000179544D;;407468;Total; 02/01/2025 ;185,54
89.886.022;74.6.0134.0312; 31/08/2023 ; 29/11/2023 ;;AUGUSTO HEYN;79;TATUQUARA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;2;3;;396.014;;******;CONSTRUÇÃO;;200,00;140,97;;0,00;140,97;0,00;0;0;ANTONIO VALMOR JUNKES JUNIOR;PR0000032577D;ANTONIO VALMOR JUNKES JUNIOR;PR0000032577D;;407475;Total; 02/01/2025 ;140,97
91.151.005;50.1.0041.0098; 18/04/2023 ; 17/07/2023 ;;IRMÃ ANATÓLIA;727;ABRANCHES;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;5;;392.868;;Conjunto Habitacional;CONSTRUÇÃO;;786,28;670,42;;0,00;670,42;0,00;0;0;MARILIA SANTANA SCHEMBERG;A1580647;EDUARDO IAHN BENTES;PR0000141417D;BRT INCORPORACAO E CONSTRUCAO LTDA;407467;Total; 02/01/2025 ;670,42
16.044.025;20.0.0033.0072; 03/05/2021 ; 03/08/2021 ;;DELEGADO LEOPOLDO BELCZAK;926;CAPÃO DA IMBUIA;EAC - EIXO PRESIDENTE AFFONSO CAMARGO;Unidade Regional Cajuru;10;45;1;375.488;;******;CONSTRUÇÃO;;1.200,00;5.138,87;0;0,00;5.138,87;0,00;1;1;PAULO DA CRUZ DINNIES;A0018767;HERLEY NAVARRETE DE ANDRADE;PR0000028885D;HN ANDRADE CONSTRUTORA LTDA - EPP;409496;Total; 02/04/2025 ;5.138,87
22.003.044;08.1.0002.0262; 30/07/2024 ; 30/10/2024 ;;SILVA JARDIM;368;REBOUÇAS;EE-4 - EIXO ESTRUTURAL CENTRO;Unidade Regional Matriz;0;0;0;403.556;;;REFORMA SIMPLIFICADA;;1.584,96;0,00;0;0,00;0,00;0,00;0;0;;;ALEXSANDRO REICHERT;PR0000140751D;;409523;Total; 02/04/2025 ;0,00
32.080.011;04.0.0045.0302; 04/08/2021 ; 04/11/2021 ;;PADRE ANTONIO;235;ALTO DA GLÓRIA;ZR3-T - ZONA RESIDENCIAL 3 TRANSIÇÃO - ALTO DA GLÓRIA;Unidade Regional Matriz;8;30;0;377.953;;******;CONSTRUÇÃO;;2.127,25;9.854,32;0;0,00;9.854,32;0,00;1;2;ANTONIO JOSE GONCALVES JUNIOR;A0154008;RONALDO RAMOS FERNANDES;PR0000075552D;PLAENGE EMPREENDIMENTOS LTDA;409539;Total; 02/04/2025 ;9.854,32
38.001.019;35.3.0050.0048; 07/12/2020 ; 07/03/2021 ;;PROFESSORA GELVIRA CORREIA PACHECO;270;BACACHERI;SE-LV - SETOR ESPECIAL DA LINHA VERDE - 3 - S. NORTE-ADB1;Unidade Regional Boa Vista;1;0;1;372.587;;******;CONSTRUÇÃO;;805,37;158,92;;0,00;158,92;0,00;0;0;CAMILLE INES SELEME;A1356550;CAMILLE INES SELEME;A1356550;;409525;Total; 02/04/2025 ;158,92
52.021.040;14.0.0106.0026; 29/11/2022 ; 27/02/2023 ;;PEDRO RIGOTTO;131;AHÚ;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Matriz;2;2;;389.753;;******;CONSTRUÇÃO;;415,33;630,93;;0,00;222,67;0,00;0;0;ORLANDO BARBOSA;;ORLANDO BARBOSA;;;409527;Parcial; 02/04/2025 ;222,67
54.019.020;16.0.0005.0032; 26/04/2023 ; 25/07/2023 ;;CORONEL AMAZONAS MARCONDES;811;CABRAL;ZR4 - ZONA RESIDENCIAL 4;Unidade Regional Matriz;8;14;;393.035;;******;CONSTRUÇÃO;;872,60;3.967,58;;0,00;3.967,58;0,00;0;0;THOMAZ XOZO MATSUO;A0020672;ADRIANE DALPRA PANSOLIN ASSIS;PR0000027653D;CONSTRUTORA ATENAS LTDA;409530;Total; 02/04/2025 ;3.967,58
69.169.007;68.0.0016.0158; 20/01/2021 ; 18/04/2021 ;;LODOVICO KAMINSKI;1.434;AUGUSTA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;1;1;0;373.386;;******;CONSTRUÇÃO;;133,47;33,15;0;0,00;33,15;0,00;0;0;IRINEU CELSO DE SANT ANA;A0245194;DIDIO SANTOS NETO;PR0000099776D;COMPANHIA DE HABITACAO POPULAR DE CURITIBA - COHAB-CT;409511;Total; 02/04/2025 ;33,15
69.169.014;68.0.0016.0228; 03/11/2020 ; 03/02/2021 ;;JOSE PICUSSA;16;AUGUSTA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;2;0;371.853;;******;CONSTRUÇÃO;;131,25;108,00;0;0,00;108,00;0,00;0;0;IRINEU CELSO DE SANT ANA;A0245194;DIDIO SANTOS NETO;PR0000099776D;COMPANHIA DE HABITACAO POPULAR DE CURITIBA - COHAB-CT;409508;Total; 02/04/2025 ;108,00
69.169.015;68.0.0016.0236; 20/01/2021 ; 18/04/2021 ;;JOSE PICUSSA;26;AUGUSTA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;2;0;373.382;;******;CONSTRUÇÃO;;131,25;108,00;0;0,00;108,00;0,00;0;0;IRINEU CELSO DE SANT ANA;A0245194;DIDIO SANTOS NETO;PR0000099776D;COMPANHIA DE HABITACAO POPULAR DE CURITIBA - COHAB-CT;409507;Total; 02/04/2025 ;108,00
69.169.018;68.0.0016.0034; 03/11/2020 ; 03/02/2021 ;;OSIEL FONSECA DE SOUZA;69;AUGUSTA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;1;1;0;371.855;;******;CONSTRUÇÃO;;122,50;33,15;0;0,00;33,15;0,00;0;0;IRINEU CELSO DE SANT ANA;A0245194;DIDIO SANTOS NETO;PR0000099776D;COMPANHIA DE HABITACAO POPULAR DE CURITIBA - COHAB-CT;409514;Total; 02/04/2025 ;33,15
69.169.019;68.0.0016.0040; 03/11/2020 ; 03/02/2021 ;;OSIEL FONSECA DE SOUZA;61;AUGUSTA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;1;1;0;371.854;;******;CONSTRUÇÃO;;122,50;33,15;0;0,00;33,15;0,00;0;0;IRINEU CELSO DE SANT ANA;A0245194;DIDIO SANTOS NETO;PR0000099776D;COMPANHIA DE HABITACAO POPULAR DE CURITIBA - COHAB-CT;409502;Total; 02/04/2025 ;33,15
69.169.020;68.0.0016.0048; 03/11/2020 ; 03/02/2021 ;;OSIEL FONSECA DE SOUZA;55;AUGUSTA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;1;1;0;371.856;;******;CONSTRUÇÃO;;122,50;33,15;0;0,00;33,15;0,00;0;0;IRINEU CELSO DE SANT ANA;A0245194;DIDIO SANTOS NETO;PR0000099776D;COMPANHIA DE HABITACAO POPULAR DE CURITIBA - COHAB-CT;409503;Total; 02/04/2025 ;33,15
69.169.022;68.0.0016.0064; 03/11/2020 ; 03/02/2021 ;;OSIEL FONSECA DE SOUZA;39;AUGUSTA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;1;1;0;371.852;;******;CONSTRUÇÃO;;122,50;33,15;0;0,00;33,15;0,00;0;0;IRINEU CELSO DE SANT ANA;A0245194;DIDIO SANTOS NETO;PR0000099776D;COMPANHIA DE HABITACAO POPULAR DE CURITIBA - COHAB-CT;409506;Total; 02/04/2025 ;33,15
69.171.012;68.0.0018.0262; 19/02/2020 ; 19/05/2020 ;;LODOVICO KAMINSKI;1.590;AUGUSTA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;1;1;0;367.135;;******;CONSTRUÇÃO;;148,34;33,00;0;0,00;33,00;0,00;0;0;IRINEU CELSO DE SANT ANA;A0245194;DIDIO SANTOS NETO;PR0000099776D;COMPANHIA DE HABITACAO POPULAR DE CURITIBA - COHAB-CT;409501;Total; 02/04/2025 ;33,00
69.171.013;68.0.0018.0270; 19/02/2020 ; 19/05/2020 ;;LODOVICO KAMINSKI;1.600;AUGUSTA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;1;1;0;367.139;;******;CONSTRUÇÃO;;128,49;33,00;0;0,00;33,00;0,00;0;0;IRINEU CELSO DE SANT ANA;A0245194;DIDIO SANTOS NETO;PR0000099776D;COMPANHIA DE HABITACAO POPULAR DE CURITIBA - COHAB-CT;409519;Total; 02/04/2025 ;33,00
69.171.014;68.0.0018.0278; 19/02/2020 ; 19/05/2020 ;;LODOVICO KAMINSKI;1.608;AUGUSTA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;1;1;0;367.141;;******;CONSTRUÇÃO;;117,93;33,00;0;0,00;33,00;0,00;0;0;IRINEU CELSO DE SANT ANA;A0245194;DIDIO SANTOS NETO;PR0000099776D;COMPANHIA DE HABITACAO POPULAR DE CURITIBA - COHAB-CT;409520;Total; 02/04/2025 ;33,00
69.171.015;68.0.0018.0284; 19/02/2020 ; 19/05/2020 ;;LODOVICO KAMINSKI;1.616;AUGUSTA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;1;1;0;367.140;;******;CONSTRUÇÃO;;121,91;33,00;0;0,00;33,00;0,00;0;0;IRINEU CELSO DE SANT ANA;A0245194;DIDIO SANTOS NETO;PR0000099776D;COMPANHIA DE HABITACAO POPULAR DE CURITIBA - COHAB-CT;409516;Total; 02/04/2025 ;33,00
69.171.022;68.0.0018.0332; 17/02/2020 ; 18/05/2020 ;;LODOVICO KAMINSKI;1.670;AUGUSTA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;1;1;0;367.079;;******;CONSTRUÇÃO;;135,36;33,00;0;0,00;33,00;0,00;0;0;IRINEU CELSO DE SANT ANA;A0245194;DIDIO SANTOS NETO;PR0000099776D;COMPANHIA DE HABITACAO POPULAR DE CURITIBA - COHAB-CT;409510;Total; 02/04/2025 ;33,00
