ZONA,CA_BASICO,CA_MAXIMO,USOS_PERMITIDOS,USOS_PERMISSIVEIS
ZI - ZONA INDUSTRIAL (EMLV),1.0,2.5,Indústria (geral),
EACF - EIXO DE ADENSAMENTO COMENDADOR FRANCO,1.0,4.0,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Empreendimento Inclusivo de Habitação de Interesse Social; Comunitário 1 e 2; Comércio e Serviço Vicinal, de Bairro e Setorial; Posto de Abastecimento; Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
EACB - EIXO DE ADENSAMENTO ENGENHEIRO COSTA BARROS,1.0,4.0,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Empreendimento Inclusivo de Habitação de Interesse Social; Comunitário 1 e 2; Comércio e Serviço Vicinal, de Bairro e Setorial; Posto de Abastecimento; Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
"ECO-1-2-3-4 - EIXOS CONECTORES OESTE 1, 2, 3 e 4",1.5,4.0,"Habitação Unifamiliar; Habitação Unifamiliar em série; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Empreendimento Inclusivo de Habitação de Interesse Social; Comunitário 1 e 2; Comércio e Serviço Vicinal, de Bairro e Setorial; Posto de Abastecimento; Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
"ECL-1-2-3 - EIXOS CONECTORES LESTE 1, 2, 3",1.5,4.0,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Empreendimento Inclusivo de Habitação de Interesse Social; Comunitário 1 e 2; Comércio e Serviço Vicinal, de Bairro e Setorial; Posto de Abastecimento; Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
ECS-1-2 - EIXOS CONECTORES SUL 1 e 2,1.0,3.0,"Habitação Unifamiliar; Habitação Unifamiliar em série; Habitação Coletiva; Habitação Institucional; Empreendimento Inclusivo de Habitação de Interesse Social; Comunitário 1 e 2; Comércio e Serviço Vicinal, de Bairro e Setorial; Posto de Abastecimento; Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
ZC - ZONA CENTRAL,5.0,5.0,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Empreendimento inclusivo de habitação de interesse social; Comunitário 1; Comunitário 2-Lazer, Cultura e Culto Religioso; Comércio e Serviço Vicinal, de Bairro e Setorial; Edifício Garagem; Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 2-Ensino; Comunitário 3
ZR1 - ZONA RESIDENCIAL 1,1.0,2.0,"Habitações Unifamiliares; Habitação Unifamiliar em Série; Comércio e Serviço Vicinal (somente alvará de localização em edificação existente); Indústria Tipo 1 (somente alvará de localização em edificação existente, vinculada ao uso habitacional)",
ZR2 - ZONA RESIDENCIAL 2,1.0,2.0,Habitação Unifamiliar; Habitação Unifamiliar em Série; Habitação Institucional; Empreendimento inclusivo de habitação de interesse social; Comunitário 1; Comércio e Serviço Vicinal e de Bairro; Comunitário 2 Culto Religioso; Indústria Tipo 1 (somente alvará de licença para localização em edificação existente),
ZR3 - ZONA RESIDENCIAL 3,1.0,3.0,"Habitação Unifamiliar; Habitação Unifamiliar em Série; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1 (Somente Apart-hotel, sem centro de convenções); Empreendimento inclusivo de habitação de interesse social; Comunitário 1; Comunitário 2-Saúde; Comércio e Serviço Vicinal e de Bairro; Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 2-Culto Religioso
ZR3-T - ZONA RESIDENCIAL 3 TRANSIÇÃO,1.0,4.0,Habitações Unifamiliares; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Comunitário 1; Edifício de escritórios e Sede Administrativa; Comércio e Serviço Vicinal e de Bairro; Comunitário 2 Culto Religioso e Saúde; Comunitário 2-Ensino; Indústria do Tipo 1 (somente alvará de localização em edificação existente),
ZR4 - ZONA RESIDENCIAL 4,2.0,6.0,Habitações Unifamiliares; Habitação Unifamiliar em Série; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1 (Sem centro de convenções); Comunitário 1; Comunitário 2-Saúde; Comércio e Serviço Vicinal e de Bairro; Comunitário 2-Culto Religioso; Sede Administrativa; Indústria do Tipo 1 (somente alvará de licença para localização em edificação existente),
ZROC1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1 (Artigo 48),0.4,0.5,"Habitações Unifamiliares; Habitações Unifamiliares em série; Habitação Coletiva; Habitação Institucional; Comunitário 1; Comércio e Serviço Vicinal e de Bairro; Comunitário 2-Culto Religioso; Indústria Tipo 1 (somente alvará de localização em edificação existente, anexa a moradia)",Comunitário 2-Saúde e Ensino
ZROC1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1 (Geral),0.4,0.4,Habitações Unifamiliares; Habitações Unifamiliares em série; Habitação Institucional; Habitação Transitória 1; Comunitário 1 e Comunitário 2-Culto Religioso; Comércio e Serviço Vicinal e de Bairro; Indústria do Tipo 1 (somente alvará de localização em edificação existente),"Comunitário 2-Saúde, Ensino e Lazer; Comunitário 3"
ZROC1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1 VM/TERRENOS COM TESTADA PARA A VIA METROPOLITANA ATÉ A PROFUNDIDADE DE 100 METROS,0.4,0.4,"Habitação Unifamiliar; Habitação Coletiva; Habitação Transitória 1; Comunitário 2-Culto Religioso; Comércio e Serviço Vicinal, de Bairro e Setorial; Posto de Abastecimento e Serviços; Indústria Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 2 e 3
ZROI - ZONA RESIDENCIAL DE OCUPAÇÃO INTEGRADA,1.0,2.0,"Habitações Unifamiliares; Habitação Coletiva; Habitações Unifamiliares em série; Habitação Institucional; Comunitário 1; Comércio e Serviço Vicinal e de Bairro; Comunitário 2-Culto Religioso; Indústria Tipo 1 (somente alvará de licença para localização em edificação existente, anexa à moradia)",Comunitário 2-Saúde e Ensino
ZUM1 - ZONA DE USO MISTO 1,1.0,4.0,"Habitação Unifamiliar; Habitação Unifamiliar em série; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Comunitário 1 e 2; Comércio e Serviço Vicinal, de Bairro e Setorial; Posto de Abastecimento; Indústria Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
ZUM2 - ZONA DE USO MISTO 2,1.0,6.0,"Habitações Unifamiliares; Habitações unifamiliares em série; Habitação Institucional; Habitação Coletiva; Habitação Transitória 1; Comunitário 1 e 2; Comércio e Serviço Vicinal, de Bairro e Setorial; Estacionamento comercial e edifício garagem; Posto de abastecimento; Indústria Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
ZUM3 - ZONA DE USO MISTO 3,1.0,4.0,"Habitações Unifamiliares; Habitação Institucional; Habitação Coletiva; Habitação Transitória 1; Comunitário 1 e 2; Comércio e Serviço Vicinal, de Bairro e Setorial; Estacionamento comercial e edifício garagem; Posto de abastecimento; Indústria Tipo 1 (somente alvará de licença para localização em edificação existente)",Comunitário 3
ZUMVP - ZONA DE USO MISTO DO VALE DO PINHÃO,1.0,3.0,"Habitações Unifamiliares; Habitação Institucional; Habitação Coletiva; Habitação Transitória 1; Comunitário 1 e 2; Comércio Vicinal, de Bairro e Setorial; Serviço Vicinal, de Bairro e Setorial; Estacionamento comercial e edifício garagem; Indústria (atividades produtivas vinculadas à economia criativa); Indústria Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
ZSM - ZONA SALDANHA MARINHO,2.0,6.0,Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Comunitário 1 e 2; Comércio e Serviço Vicinal e de Bairro e Setorial; Edifício Garagem e Estacionamento Comercial; Indústria do Tipo 1 (somente alvará de licença para localização em edificação existente),Comunitário 3-Saúde e Ensino; Supermercado e Centro Comercial
ZFR - ZONA SÃO FRANCISCO,2.0,6.0,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Comunitário 1; Comunitário 2-Lazer, Cultura; Comunitário 2- Culto Religioso; Comércio e Serviço Vicinal, de Bairro e Setorial (com exceção de comércio de veículos em geral, oficinas de reparação de veículos em geral, serv-car e borracharias); Estacionamento Comercial e Edifício Garagem; Indústria Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 2 e 3-Ensino; Supermercados e Centros Comerciais
ZE - ZONA EDUCACIONAL,0.5,0.5,Habitação Unifamiliar; Habitação Coletiva; Habitação Transitória 1; Comunitário 1 e 2; Usos vinculados às atividades de Ensino; Serviços Públicos; Comércio e Serviço Vicinal e de Bairro,Comunitário 3-Ensino
ZM - ZONA MILITAR,0.5,0.5,Habitações Unifamiliares; Habitação Coletiva; Usos vinculados às atividades militares; Comércio e Serviço Vicinal e de Bairro,
ZPS - ZONA POLO DE SOFTWARE,1.0,2.0,"Habitação Unifamiliar; Comércio, Serviço e Indústria de Tecnologia da Informação e Comunicação; Atividades complementares (restaurantes, lanchonetes, papelaria e similares)",
ZH1 - ZONA HISTÓRICA 1,2.6,2.6,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Comunitário 1; Comunitário 2-Lazer, Cultura e Culto Religioso (com exceção de canchas desportivas); Comércio e Serviço Vicinal, de Bairro e Setorial (com exceção de comércio de veículos em geral, oficinas de reparação de veículos em geral, serv-car e borracharias)",Comunitário 2 e 3-Ensino
ZH2 - ZONA HISTÓRICA 2,2.0,2.0,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Comunitário 1; Comunitário 2-Lazer, Cultura e Culto Religioso (com exceção de canchas desportivas); Comércio e Serviço Vicinal, de Bairro e Setorial (com exceção de comércio de veículos em geral, oficinas de reparação de veículos em geral, serv-car e borracharias)",Comunitário 2 e 3-Ensino
ZCC - ZONA CENTRO CÍVICO/TERRENOS COM TESTADA PARA A AV. CÂNDIDO DE ABREU,1.0,LIVRE,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Comunitário 1 e 2 (com exceção de canchas desportivas); Comércio e Serviço Vicinal, de Bairro e Setorial; Edifícios de Uso Público; Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
ZCC - ZONA CENTRO CÍVICO/DEMAIS VIAS,1.0,6.0,"Habitações Unifamiliares; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Comunitário 1; Comunitário 2-Saúde; Comércio e Serviço Vicinal, de Bairro e Setorial; Comunitário 2-Culto Religioso; Edifício Garagem; Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
ZCSF - ZONA COMERCIAL SANTA FELICIDADE,1.0,2.0,"Habitações Unifamiliares; Habitação Coletiva; Habitação Institucional; Habitação transitória; Comunitário 1; Comunitário 2; Comércio e Serviço Vicinal, de Bairro e Setorial (proibida oficinas de reparação de veículos em geral e borracharias em terrenos com frente para as ruas do binário turístico); Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
ZCUM - ZONA COMERCIAL UMBARÁ,1.0,2.0,"Habitações Unifamiliares; Habitação Coletiva; Habitação Institucional; Habitação transitória; Comunitário 1; Comunitário 2; Comércio e Serviço Vicinal, de Bairro e Setorial (proibida oficinas de reparação de veículos em geral e borracharias em terrenos com frente para as ruas do binário turístico); Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
ZS1 - ZONA DE SERVIÇO 1,1.0,2.0,"Habitações Unifamiliares; Habitação Transitória 1; Habitação Transitória 2 (somente em imóveis com testada para as vias marginais das rodovias); Comunitário 2-Lazer, Cultura e Casa de Culto; Comércio e Serviço Vicinal, de Bairro e Setorial; Comércio e Serviço Geral; Posto de Abastecimento; Cemitério; Indústria Tipo 1",Comunitário 2 Saúde e Ensino; Comunitário 3-Lazer e Ensino; Indústria Tipo 2
ZS2 - ZONA DE SERVIÇO 2,1.0,2.0,"Habitações Unifamiliares; Habitação Transitória 1; Habitação Transitória 2 (somente em imóveis com testada para as vias marginais das rodovias); Comunitário 2-Lazer, Cultura e Casa de Culto; Comércio e Serviço Vicinal, de Bairro e Setorial; Comércio e Serviço Geral; Posto de Abastecimento; Cemitério; Indústria Tipo 1 e 2",Comunitário 3; Condomínio de Indústrias Tipo 1 e 2; Indústria Tipo 3
ZI - ZONA INDUSTRIAL,0.6,1.0,Habitação Unifamiliar; Indústria; Comércio e Serviço Setorial e Geral,
SEPE-C - SETOR PREFERENCIAL DE PEDESTRES - XV DE NOVEMBRO E CENTRAL,3.6,3.6,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Comunitário 1; Comunitário 2-Lazer, Cultura e Culto Religioso; Comércio e Serviço Vicinal, de Bairro e Setorial (com exceção de comércio de veículos em geral, oficinas de reparação de veículos em geral, serv-car, borracharias, estacionamentos comerciais, super e hipermercados); Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 2 e 3-Ensino
SE-BR - SETOR PREFERENCIAL DE PEDESTRE BARÃO-RIACHUELO,3.6,3.6,"Habitação Unifamiliar; Habitação Coletiva; Habitação Institucional; Habitação Transitória 1; Comunitário 1; Comunitário 2-Lazer, Cultura e Culto Religioso; Comércio e Serviço Vicinal, de Bairro e Setorial (com exceção de comércio de veículos em geral, oficinas de reparação de veículos em geral, serv-car e borracharias); Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 2 e 3-Ensino
SEDE - SETOR DESPORTIVO E DE ESTÁDIOS,1.0,1.0,"Habitações Unifamiliares; Habitação Coletiva; Habitações Unifamiliares em série; Habitação Institucional; Habitação Transitória 1; Posto de Abastecimento; Estacionamento Comercial e Edifício Garagem; Comunitário 1 e 2; Comércio e Serviço Vicinal, de Bairro e Setorial; Indústria tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL,1.0,1.0,"Habitações Unifamiliares; Habitações Unifamiliares em Série; Habitação Institucional; Habitação Coletiva; Comunitário 1; Comércio e Serviço Vicinal, de Bairro e Setorial; Comunitário 2- Culto Religioso; Indústria do Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 2
S1 - SETOR DAS VIAS SETORIAIS 1,1.0,ONEROSO_CONFORME_QUADRO,"Habitações Unifamiliares; Habitação Coletiva; Habitações Unifamiliares em série; Habitação Institucional; Habitação Transitória 1; Posto de Abastecimento; Estacionamento Comercial e Edifício Garagem; Comunitário 1 e 2; Comércio e Serviço Vicinal, de Bairro e Setorial; Indústria tipo 1 (somente alvará de localização em edificação existente)",Comunitário 3
S2 - SETOR DAS VIAS SETORIAIS 2,1.0,ONEROSO_CONFORME_QUADRO,"Habitações Unifamiliares; Habitação Coletiva; Habitação Institucional; Habitações Unifamiliares em série; Habitação Transitória 1; Posto de Abastecimento; Estacionamento Comercial e Edifício Garagem; Comunitário 1; Comunitário 2 e 3 exceto Ensino; Comércio e Serviço Vicinal, de Bairro e Setorial; Indústria Tipo 1 (somente alvará de localização em edificação existente)",
C1 - SETOR DAS VIAS COLETORAS 1,1.0,ONEROSO_CONFORME_QUADRO,"Habitações Unifamiliares; Habitação Coletiva; Habitação Institucional; Habitações Unifamiliares em série; Habitação Transitória 1; Posto de Abastecimento; Estacionamento Comercial; Edifício Garagem; Comunitário 1; Comunitário 2- Culto religioso; Comércio e Serviço Vicinal, de Bairro e Setorial; Indústria Tipo 1 (somente alvará de localização em edificação existente)",Comunitário 2 (exceto culto); Comunitário 3
C2 - SETOR DAS VIAS COLETORAS 2,1.0,ONEROSO_CONFORME_QUADRO,"Habitações Unifamiliares; Habitação Coletiva; Habitação Institucional; Habitações Unifamiliares em série; Habitação Transitória 1; Posto de Abastecimento; Estacionamento Comercial; Edifício Garagem; Comunitário 1 e 2; Comércio e Serviço Vicinal, de Bairro e Setorial; Indústria Tipo 1 (somente alvará de localização em edificação existente)",
VP - SETOR DAS VIAS PRIORITÁRIAS,VER_ZONA_ATRAVESSADA,VER_ZONA_ATRAVESSADA,Habitações Unifamiliares; Habitações Unifamiliares em série; Habitação Coletiva; Habitação Transitória 1; Posto de Abastecimento; Estacionamento Comercial; Comércio e Serviço Vicinal e de Bairro,
ENC - EIXO NOVA CURITIBA (GERAL),VER_SUBZONA,VER_SUBZONA,V; E; R; _; S; U; B; Z; O; N; A,V; E; R; _; S; U; B; Z; O; N; A
EMLV - EIXO METROPOLITANO LINHA VERDE (GERAL),VER_LEI_ESPECIFICA,VER_LEI_ESPECIFICA,V; E; R; _; L; E; I; _; E; S; P; E; C; I; F; I; C; A,V; E; R; _; L; E; I; _; E; S; P; E; C; I; F; I; C; A
EC - EIXOS CONECTORES (GERAL),VER_QUADROS_ESPECIFICOS,VER_QUADROS_ESPECIFICOS,V; E; R; _; Q; U; A; D; R; O; S; _; E; S; P; E; C; I; F; I; C; O; S,V; E; R; _; Q; U; A; D; R; O; S; _; E; S; P; E; C; I; F; I; C; O; S
SEPE - SETOR PREFERENCIAL DE PEDESTRES (GERAL),VER_SUBSETOR,VER_SUBSETOR,V; E; R; _; S; U; B; S; E; T; O; R,V; E; R; _; S; U; B; S; E; T; O; R
SEPP - SETOR DOS PONTOS PANORÂMICOS,VER_ZONA_ATRAVESSADA,VER_ZONA_ATRAVESSADA,V; E; R; _; Z; O; N; A; _; A; T; R; A; V; E; S; S; A; D; A,V; E; R; _; Z; O; N; A; _; A; T; R; A; V; E; S; S; A; D; A
SEPI - SETOR DOS POLOS DE INTEGRAÇÃO,VER_PDR,VER_PDR,V; E; R; _; P; D; R,V; E; R; _; P; D; R
SEPC - SETOR DOS POLOS COMERCIAIS,VER_LEI_ESPECIFICA,VER_LEI_ESPECIFICA,V; E; R; _; L; E; I; _; E; S; P; E; C; I; F; I; C; A,V; E; R; _; L; E; I; _; E; S; P; E; C; I; F; I; C; A
SEAHM - SETOR DE ATENDIMENTO HOSPITALAR E MATERNIDADE,VER_ZONA_ATRAVESSADA,VER_ZONA_ATRAVESSADA,V; E; R; _; Z; O; N; A; _; A; T; R; A; V; E; S; S; A; D; A,V; E; R; _; Z; O; N; A; _; A; T; R; A; V; E; S; S; A; D; A
SEVB - SETOR DO SISTEMA VIÁRIO BÁSICO,VARIA_POR_VIA,VARIA_POR_VIA,V; A; R; I; A; _; P; O; R; _; V; I; A,V; A; R; I; A; _; P; O; R; _; V; I; A
SEAV - SETOR DE ÁREAS VERDES,LEGISLAÇÃO_ESPECÍFICA,LEGISLAÇÃO_ESPECÍFICA,L; E; G; I; S; L; A; Ç; Ã; O; _; E; S; P; E; C; Í; F; I; C; A,L; E; G; I; S; L; A; Ç; Ã; O; _; E; S; P; E; C; Í; F; I; C; A
SESA - SETOR DE SANEAMENTO AMBIENTAL,LEGISLAÇÃO_ESPECÍFICA,LEGISLAÇÃO_ESPECÍFICA,L; E; G; I; S; L; A; Ç; Ã; O; _; E; S; P; E; C; Í; F; I; C; A,L; E; G; I; S; L; A; Ç; Ã; O; _; E; S; P; E; C; Í; F; I; C; A
